"created","text"
"19/04/2017","Lisuma Gunadarma Jadi Fasilitator Peringatan Hari Lansia di Depok https://t.co/Juq3iLoDv5 #HUT18Depok https://t.co/RKNhItVPqU"
"19/04/2017","RT @SahabatIdris: Lisuma Gunadarma Jadi Fasilitator Peringatan Hari Lansia di Depok https://t.co/Juq3iLoDv5 #HUT18Depok https://t.co/RKNhIt"
"19/04/2017","Jakarta udh ganti gubernur berkali2, gunadarma msh setia sm iklan ufo dr jaman presiden ke 2 apa ketiga...apa  https://t.co/iAqbozWu0f"
"19/04/2017","seorang mahasiswi Psikologi kelas 4PA06 Universitas Gunadarma. Dixsa merupakan usaha di bidang kuliner, yaitu makaroni schotel"
"19/04/2017","@gunadarma_ maaf min saya mau tanya, untuk pengaduan kesalahan pmdk bisa hubungin kemana? Trimakasih"
"19/04/2017","Gunadarma. Sabtu, 22 April 2017. https://t.co/7xbuWZSr7H"
"19/04/2017","RT @panca_atis: Gunadarma. Sabtu, 22 April 2017. https://t.co/7xbuWZSr7H"
"19/04/2017","Sedangkan hasil untuk tim putri adalah :  Atma Jaya 0-3 Gunadarma    Tetap semangat tim putri!!  Ayo tmn2 kita dukung tim Atma Jaya! "
"19/04/2017","RT @kempanrb: Tingkatkan Pemanfaatan TI, Kementerian PANRB Gandeng Gunadarma https://t.co/KRjkOTzq7u lewat @kempanrb"
"19/04/2017","@gunadarma_ min malam. Daftar ulang dan pembayaran jalur pmdk s1 terakhir tanggal berapa ya? Trims"
"19/04/2017","*Di jual rumah + Kos2an deket kampus Gunadarma depok* Luas tanah 1400m Rumah utama ada 6 https://t.co/SLISDrRDku"
"18/04/2017","Bukti, di account aja nama Hodijah, alamat rumah nomor 8, nomor telp udah aku cantumin 081908651497, aku lulus universitas gunadarma. 1980"
"18/04/2017","Tingkatkan Pemanfaatan TI, Kementerian PANRB Gandeng Gunadarma https://t.co/sOvor1V5P6"
"18/04/2017","Tingkatkan Pemanfaatan TI, Kementerian PANRB Gandeng Gunadarma https://t.co/KRjkOTzq7u lewat @kempanrb"
"18/04/2017","Alhamdulilah  Next andika ni  @ Kampus D Universitas Gunadarma, Depok. https://t.co/tNIF5ytKUF"
"18/04/2017","Kaga tau dari mana judulnya tiba tiba doi menarik perhatian.  Senja (at Universitas Gunadarma Kampus J) [pic]  https://t.co/2CIPbbBE2E"
